Team,Record,Rat,Pwr,Off,Def,HFA,SoS,SSF,EW,EL
East Carolina,0.586,7.28,32.55,91.78,17.52,2.84,30.41,30.8,0.77,1.23
Miami OH,0.724,7.27,30.27,91.58,15.45,2.86,27.32,27.12,1.36,0.64
WI Milwaukee,0.677,7.27,31.02,92.31,15.46,2.82,28.24,28.24,0.0,0.0
N Dakota St,0.677,7.26,31.19,92.67,15.27,2.8,28.05,28.02,0.62,0.38
UTEP,0.586,7.26,32.0,89.68,19.08,2.84,30.06,30.51,0.7,1.3
Robert Morris,0.742,7.26,29.47,89.56,16.66,2.83,26.71,26.71,0.0,0.0
UC Santa Barbara,0.633,7.25,32.66,89.69,19.72,2.77,27.92,28.19,0.4,0.6
North Alabama,0.719,7.24,31.17,91.76,16.17,2.87,26.11,26.07,0.69,0.31
Cornell,0.615,7.24,33.03,97.09,12.7,2.85,28.61,28.37,0.81,0.19
New Mexico St,0.552,7.23,32.23,86.34,22.65,2.95,30.57,31.0,0.69,1.31
Wyoming,0.4,7.23,32.75,88.87,20.64,2.89,35.33,35.23,0.51,0.49
ETSU,0.613,7.22,32.27,87.89,21.13,2.82,28.07,28.17,0.53,0.47
Duquesne,0.448,7.21,34.84,89.09,22.51,2.8,31.56,32.15,0.65,1.35
Indiana St,0.452,7.21,34.75,97.88,13.63,2.95,31.59,31.59,0.0,0.0
Winthrop,0.677,7.21,31.11,96.18,11.68,2.79,26.93,27.0,0.56,0.44
Kennesaw,0.567,7.2,30.12,92.44,14.43,2.87,30.68,30.86,0.31,0.69
Cleveland St,0.645,7.19,31.27,88.62,19.4,2.82,27.01,27.01,0.0,0.0
Marshall,0.613,7.18,31.25,91.56,16.45,2.91,28.23,28.23,0.0,0.0
South Florida,0.433,7.17,33.4,90.82,19.33,2.79,31.91,32.37,0.13,0.87
